Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Wang, Xue; Perumalsamy, Haribalan; Kwon, Hyung Wook; Na, Young-Eun; Ahn, Young-Joon; ",Effects and possible mechanisms of action of acacetin on the behavior and eye morphology of Drosophila models of Alzheimer’s disease,Scientific Reports,5,1,16127,2015,Nature Publishing Group UK London
"Balusamy, Sri Renukadevi; Perumalsamy, Haribalan; Huq, Md Amdad; Balasubramanian, Balamuralikrishnan; ",Anti-proliferative activity of Origanum vulgare inhibited lipogenesis and induced mitochondrial mediated apoptosis in human stomach cancer cell lines,Biomedicine & Pharmacotherapy,108,,1835-1844,2018,Elsevier
"Perumalsamy, Haribalan; Kim, Nam-Jin; Kim, Jun-Ran; Kwak, Taek-Jong; Chang, Min-Youl; Ahn, Young-Joon; ",Repellency of Plant Essential Oils against Aedes aegypti (Culicidae: Diptera).,한국응용곤충학회 학술대회논문집,,,228-228,2011,
"Chae, Seong Chun; Lee, Dong-Chan; Perumalsamy, Haribalan; ",Larvicidal Activity of Pinus densiflora Needle Hydrodistillate Constituents and Related Compounds toward Insecticide-susceptible Aedes aegypti and Wild Aedes albopictus,한국응용곤충학회 학술대회논문집,,,266-266,2013,
"Perumalsamy, Haribalan; Sankarapandian, Karuppasamy; Wang, Xue; Shin, Hye Min; Ahn, Young Joon; ",Acaricidal Activity of Cade Oil Constituents and Spray Formulations toward Dermatophagoides farinae (Acari: Pyroglyphidae),한국응용곤충학회 학술대회논문집,,,56-56,2016,
"Perumalsamy, Haribalan; Murugan, Kadarkarai; Ahn, Young-Joon; ",Larvicidal activity of compounds identified in Pongamia pinnata against Aedes aegypti and Culex pipiens palle,한국응용곤충학회 학술대회논문집,,,58-58,2010,
"Kim, Jun-Ran; Perumalsamy, Haribalan; Lee, Sang-Guei; Ahn, Young-Joon; ",Acaricidal activity of identified constituents from Pimenta racemosa and Cymbopogon martini essential oils toward Dermatophagoides farinae,한국응용곤충학회 학술대회논문집,,,274-274,2013,
"Kim, Jun-Ran; Perumalsamy, Haribalan; Ahn, Young-Joon; ",MICROTITRE PLATE-BASED ANTIBACTERIAL ASSAY TOWARDS ASARUM HETEROTROPOIDES ACTIVE PRINCIPLES AGAINST HUMAN INTESTINAL BACTERIA,PHARMACEUTICAL BIOLOGY,50,5,569-569,2012,"INFORMA HEALTHCARE TELEPHONE HOUSE, 69-77 PAUL STREET, LONDON EC2A 4LQ, ENGLAND"
"Perumalsamy, Haribalan; ",Larvicidal Activity of Constituents Identified in Asarum heterotropoides and Millettia pinnata against Four Mosquito Species and Their Potential Mode of Action,,,,,2012,서울대학교 대학원
"Perumalsamy, Haribalan; Kim, Nam-Jin; Ahn, Young-Joon; ","Larvicidal Activity of Asarum heterotropoides Root Steam Distillate Constituents against Culex pipiens pallens, Aedes aegypti, and Ochlerotatus togoi (Diptera: Culicidae)",한국응용곤충학회 학술대회논문집,,,34-34,2009,
"Kim, Jun‐Ran; Perumalsamy, Haribalan; Kwon, Min Jung; Chae, Se Um; Ahn, Young‐Joon; ",Toxicity of hiba oil constituents and spray formulations to American house dust mites and copra mites,Pest management science,71,5,737-743,2015,"John Wiley & Sons, Ltd Chichester, UK"
"Wang, Zhang‐qian; Perumalsamy, Haribalan; Wang, Mo; Shu, Shaohua; Ahn, Young‐Joon; ",Larvicidal activity of Magnolia denudata seed hydrodistillate constituents and related compounds and liquid formulations towards two susceptible and two wild mosquito species,Pest Management Science,72,5,897-906,2016,"John Wiley & Sons, Ltd Chichester, UK"
"Perumalsamy, Haribalan; Song, Ha Eun; Yoo, Ji Young; Kim, Jun-Ran; Kim, Soon-Il; Lee, Sang-Guei; Ahn, Young-Joon; ",Anti-proliferative Activity of Theanine Identified in Cicada Slough on Human Prostate Cancer,한국응용곤충학회 학술대회논문집,,,32-32,2014,
"Kim, Jun-Ran; Perumalsamy, Haribalan; Lee, Ju-Hee; Ahn, Young-Joon; Lee, Young Su; Lee, Sang-Guie; ",Acaricidal activity of Asarum heterotropoides root-derived compounds and hydrodistillate constitutes toward Dermanyssus gallinae (Mesostigmata: Dermanyssidae),Experimental and Applied Acarology,68,4,485-495,2016,Springer International Publishing Cham
"Kim, Jun-Ran; Perumalsamy, Haribalan; ki Son, Bong; Ahn, Young-Joon; ",Fumigant Toxicity of Plant Essential Oils to Camp corticalis (Diptera: Cecidomyiidae),한국응용곤충학회 학술대회논문집,,,164-164,2012,
"Perumalsamy, Haribalan; Kim, Jun-Ran; Kim, Soon-Il; Kwon, Hyung Wook; Ahn, Young-Joon; ",Enhanced toxicity of binary mixtures of larvicidal constituents from Asarum heterotropoides root to Culex pipiens pallens (Diptera: Culicidae),Journal of medical entomology,49,1,107-111,2012,"Oxford University Press Oxford, UK"
"Perumalsamy, Haribalan; Wang, Xue; Shin, Hye-Min; Sankarapandian, Karuppasamy; Cheng, Yizhe; Ahn, Young-Joon; ","Larvicidal, Histopathological and Molecular Effects of Flavonoids and Fatty Acids Identified in Millettia pinnata Seed Toward Three Mosquito Species",한국응용곤충학회 학술대회논문집,,,34-34,2016,
"Perumalsamy, Haribalan; Ahn, Young-Joon; ",Larvicidal activity of Asarum sieboldii Miq against dengue vectorAedes aegypti,한국응용곤충학회 학술대회논문집,,,49-49,2008,
"Perumalsamy, Haribalan; Wang, Xue; Shin, Hye Min; Kim, Jun-Ran; Choi, Byeoung-Ryeol; Kim, Soon-Il; Ahn, Young-Joon; ",Fumigant Toxicity of Plant Essential Oils to Myzus persicae (Hemiptera: Aphididae) and Aphis gossypii (Hemiptera: Aphididae),한국응용곤충학회 학술대회논문집,,,246-246,2015,
"Young-Yull, KOH; Gwang-Joo, JEON; ","House dust mite allergy protein remover, and composition thereof",,,,,2018,"US Patent App. 15/760,038"
"Murugan, Kadarkarai; Sanoopa, CP; Madhiyazhagan, Pari; Dinesh, Devakumar; Subramaniam, Jayapal; Panneerselvam, Chellasamy; Roni, Mathath; Suresh, Udaiyan; Nicoletti, Marcello; Alarfaj, Abdullah A; ",Rapid biosynthesis of silver nanoparticles using Crotalaria verrucosa leaves against the dengue vector Aedes aegypti: what happens around? An analysis of dragonfly predatory behaviour after exposure at ultra-low doses,Natural product research,30,7,826-833,2016,Taylor & Francis
"Perumalsamy, Haribalan; Jung, Moon Young; Hong, Seung Min; Ahn, Young-Joon; ",Growth-Inhibiting and morphostructural effects of constituents identified in Asarum heterotropoides root on human intestinal bacteria,BMC Complementary and Alternative Medicine,13,1,245,2013,BioMed Central London
"이미나; 박천일; 문지영; ",트위터와 신문의 이슈 속성 비교 연구: MBC 파업을 중심으로,Journal of Internet Computing and Services,15,4,43-55,2014,
"Perumalsamy, Haribalan; Kim, Jun-Ran; Ahn, Young-Joon; ",Acaricidal Activity of Juniperus oxycedrus Essential Oil Constituents and Efficacy of Spray Formulations Toward Adult Dermatophagoides farina,한국응용곤충학회 학술대회논문집,,,79-79,2014,
"Perumalsamy, Haribalan; Chang, Kyu Sik; Park, Chan; Ahn, Young-Joon; ",Larvicidal activity of Asarum heterotropoides root constituents against insecticide-susceptible and-resistant Culex pipiens pallens and Aedes aegypti and Ochlerotatus togoi,Journal of agricultural and food chemistry,58,18,10001-10006,2010,American Chemical Society
